X,Y,Value
199,4,255
200,4,255
375,56,255
159,86,255
305,87,255
377,88,255
150,92,255
317,92,255
320,92,255
555,97,255
602,103,255
161,104,255
147,107,255
432,117,255
220,121,255
271,124,255
262,126,255
400,126,255
319,132,255
561,133,255
370,135,255
215,136,255
390,136,255
590,138,255
432,140,255
440,140,255
339,141,255
496,143,255
579,143,255
186,144,255
514,162,255
496,164,255
543,172,255
460,174,255
665,174,255
386,178,255
640,183,255
421,185,255
644,187,255
314,188,255
580,188,255
380,192,255
143,197,255
400,198,255
484,199,255
485,199,255
147,206,255
424,206,255
637,209,255
305,214,255
568,220,255
349,221,255
153,222,255
264,222,255
190,229,255
525,230,255
73,232,255
137,233,255
353,236,255
572,236,255
573,236,255
102,237,255
488,239,255
345,240,255
194,243,255
215,246,255
604,247,255
463,248,255
559,249,255
99,252,255
505,252,255
333,253,255
244,255,255
192,258,255
387,262,255
619,263,255
477,265,255
563,265,255
668,265,255
434,266,255
451,266,255
123,267,255
149,267,255
394,267,255
627,268,255
473,269,255
627,270,255
477,271,255
487,272,255
63,273,255
64,273,255
528,273,255
136,276,255
538,280,255
542,281,255
130,283,255
658,283,255
583,285,255
342,291,255
343,291,255
405,294,255
340,300,255
567,302,255
551,307,255
561,311,255
132,312,255
411,314,255
205,323,255
350,325,255
527,326,255
270,330,255
257,331,255
498,337,255
438,342,255
554,346,255
515,353,255
284,358,255
214,359,255
420,360,255
234,362,255
323,362,255
501,364,255
242,368,255
554,382,255
424,383,255
296,395,255
508,403,255
298,404,255
384,409,255
398,410,255
521,412,255
254,414,255
469,414,255
383,423,255
419,427,255
365,429,255
442,438,255
505,440,255
32,444,255
61,446,255
62,446,255
25,450,255
485,450,255
358,451,255
282,481,255
